Experiment 2 ,04_03_2020_22-34-43

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,neurons_no,accuracy,loss
0,49,0.91,0.29403537225723264
1,42,0.909,0.27829047203063967
2,67,0.913,0.2722373340129852
3,100,0.917,0.2705250098705292
4,78,0.904,0.27914707374572756
5,91,0.919,0.2561395449638367
6,105,0.914,0.2691233537197113
7,113,0.922,0.2635740900039673
8,127,0.916,0.253066880941391
9,128,0.915,0.2474714901447296
10,158,0.924,0.2372510871887207
11,221,0.929,0.22311937320232392
12,238,0.922,0.22413731789588928
13,250,0.927,0.2090397138595581
14,220,0.922,0.22414311718940735
15,258,0.914,0.2623210874795914
16,260,0.929,0.214111328125
17,209,0.927,0.21221454548835755
18,358,0.933,0.20161220800876617
19,374,0.926,0.22426845228672027
20,485,0.935,0.19527131485939025
21,538,0.941,0.19162545812129975
22,739,0.932,0.20953901749849319
23,993,0.944,0.18036260050535202
24,1392,0.949,0.18003335937857629
25,1429,0.94,0.16965187978744506
26,1248,0.941,0.1954859398305416
27,1215,0.94,0.18801083076000213
28,1685,0.937,0.206824864089489
29,1675,0.942,0.17510649329423905
30,2053,0.945,0.16771383309364318
31,2461,0.899,0.34558640588819983
32,2936,0.945,0.18104051864147186
33,2690,0.939,0.1861838651895523
34,1402,0.946,0.18235173952579498
35,1402,0.947,0.1694370306432247
36,1771,0.928,0.2415989520251751
37,1776,0.937,0.20150910395383834
38,1731,0.931,0.2254666761159897
39,2115,0.952,0.15307124170660974
40,2084,0.944,0.17369582994282246
41,2784,0.948,0.1747829077243805
42,2647,0.89,0.340277568936348
43,3797,0.94,0.20203942942619324
44,2804,0.943,0.182632826179266
45,3358,0.953,0.1707491235435009
46,2097,0.942,0.2005974967479706
47,2296,0.931,0.22644793969392776
48,3269,0.944,0.17954937064647675
49,2346,0.948,0.1706646078824997
50,4686,0.954,0.1754447868168354
51,2397,0.941,0.1918276283144951
52,2622,0.925,0.21395491671562195
53,3201,0.949,0.17040848930180072
54,3498,0.935,0.218089918166399
55,3590,0.953,0.16261744555830956
