Experiment 3 ,04_03_2020_05-21-59

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,neurons_no,accuracy,loss
0,50,0.891,0.32830917692184447
1,50,0.889,0.3464710195064545
2,33,0.901,0.32234104347229003
3,46,0.9,0.32968125796318054
4,60,0.886,0.3225006818771362
5,54,0.9,0.31782698345184324
6,71,0.897,0.31363416385650633
7,71,0.902,0.3221624414920807
8,103,0.906,0.3002246332168579
9,25,0.897,0.33131604051589963
10,34,0.897,0.32637968444824217
11,41,0.893,0.3411245708465576
12,56,0.91,0.30507942199707033
13,73,0.889,0.32321684288978575
14,60,0.904,0.31502307510375976
15,53,0.898,0.3313518657684326
16,38,0.896,0.3329135808944702
17,38,0.889,0.3371676573753357
18,38,0.887,0.34068906831741336
19,20,0.897,0.3451081209182739
20,27,0.894,0.3436891584396362
21,29,0.893,0.3395407705307007
22,38,0.897,0.3315370705127716
23,35,0.893,0.3313515372276306
24,36,0.899,0.3189720621109009
25,47,0.897,0.3381395044326782
26,61,0.898,0.3255296564102173
27,58,0.902,0.3246428442001343
28,72,0.902,0.3110591607093811
29,73,0.898,0.306638192653656
30,110,0.895,0.3164741666316986
31,128,0.905,0.3028003425598145
32,118,0.896,0.3229500954151154
33,152,0.907,0.3019303228855133
34,222,0.902,0.28920823287963865
35,260,0.907,0.2849505817890167
36,362,0.915,0.28098643898963926
37,301,0.901,0.30512725448608397
38,310,0.896,0.32913955092430114
39,477,0.91,0.2825207486152649
40,171,0.911,0.28703040766716004
41,272,0.899,0.316851580619812
42,394,0.908,0.307963223695755
43,298,0.911,0.3033672103881836
44,589,0.907,0.3146277859210968
45,389,0.908,0.30523371243476866
46,392,0.905,0.31416991567611696
47,576,0.904,0.3107490720748901
48,358,0.905,0.29946225690841677
49,516,0.9,0.31557603979110715
50,516,0.896,0.3200356512069702
51,516,0.903,0.3362076144218445
52,516,0.907,0.3102541346549988
53,392,0.903,0.2971922297477722
54,111,0.901,0.33120552492141725
55,121,0.885,0.3323558497428894
56,152,0.903,0.30142692279815675
57,171,0.9,0.312431337594986
58,194,0.904,0.2934580652713776
59,274,0.896,0.31712871861457825
60,223,0.898,0.3084541350603104
61,195,0.902,0.3164079241752625
62,228,0.912,0.2990469207763672
63,231,0.897,0.3137348474264145
64,231,0.907,0.29571864461898806
65,312,0.913,0.28272048449516296
66,315,0.905,0.2987276930809021
67,451,0.905,0.30368991947174073
68,454,0.91,0.29815262675285337
69,392,0.902,0.30385677456855775
70,451,0.909,0.2927225594520569
71,207,0.913,0.28620271039009093
72,566,0.914,0.2843444780111313
73,566,0.904,0.3268705508708954
74,566,0.907,0.29578524363040926
75,360,0.905,0.30022871589660644
76,581,0.908,0.2950674660205841
77,287,0.901,0.31349845242500307
78,501,0.9,0.32670658683776854
79,220,0.906,0.306524995803833
80,505,0.913,0.29770586085319517
81,612,0.901,0.3275395961999893
82,612,0.901,0.31799101722240447
83,632,0.904,0.32724056696891785
84,710,0.908,0.304303221821785
85,802,0.897,0.3369453604221344
86,759,0.899,0.33329956579208375
87,929,0.904,0.3418181947469711
88,497,0.909,0.29489043402671816
89,923,0.881,0.3695054621696472
90,628,0.913,0.2986483838558197
91,986,0.887,0.3731841480731964
92,1177,0.902,0.32501207423210143
93,897,0.901,0.3264115982055664
94,862,0.899,0.3478764233589172
95,802,0.912,0.2981906499862671
96,937,0.907,0.30534483075141905
97,624,0.902,0.29680961012840273
98,624,0.899,0.33500822114944456
99,823,0.902,0.30642878139019014
100,1331,0.913,0.282257116317749
101,722,0.91,0.27945309996604917
102,1006,0.901,0.33523313784599307
103,1127,0.907,0.3242581610679626
104,810,0.9,0.3034350996017456
